IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1057416
MARIA,KOBIETA,612172
KATARZYNA,KOBIETA,608044
MAŁGORZATA,KOBIETA,583972
AGNIESZKA,KOBIETA,551161
BARBARA,KOBIETA,497422
EWA,KOBIETA,484686
KRYSTYNA,KOBIETA,435588
MAGDALENA,KOBIETA,434454
ELŻBIETA,KOBIETA,430898
JOANNA,KOBIETA,406839
ALEKSANDRA,KOBIETA,386091
ZOFIA,KOBIETA,382910
MONIKA,KOBIETA,379443
TERESA,KOBIETA,352407
DANUTA,KOBIETA,313019
NATALIA,KOBIETA,298975
JULIA,KOBIETA,290877
KAROLINA,KOBIETA,290055
MARTA,KOBIETA,287368
BEATA,KOBIETA,282256
DOROTA,KOBIETA,270924
HALINA,KOBIETA,255200
JADWIGA,KOBIETA,254457
JANINA,KOBIETA,250481
ALICJA,KOBIETA,246237
JOLANTA,KOBIETA,241836
GRAŻYNA,KOBIETA,235549
IWONA,KOBIETA,234817
IRENA,KOBIETA,231516
PAULINA,KOBIETA,223330
JUSTYNA,KOBIETA,217092
ZUZANNA,KOBIETA,207864
BOŻENA,KOBIETA,204476
WIKTORIA,KOBIETA,197831
URSZULA,KOBIETA,190423
RENATA,KOBIETA,190211
HANNA,KOBIETA,186410
SYLWIA,KOBIETA,183179
AGATA,KOBIETA,182386
HELENA,KOBIETA,178974
PATRYCJA,KOBIETA,168742
MAJA,KOBIETA,163774
IZABELA,KOBIETA,159210
EMILIA,KOBIETA,153879
ANETA,KOBIETA,152121
WERONIKA,KOBIETA,149848
EWELINA,KOBIETA,148245
OLIWIA,KOBIETA,146665
MARTYNA,KOBIETA,139892
KLAUDIA,KOBIETA,138020
MARIANNA,KOBIETA,134167
MARZENA,KOBIETA,130291
GABRIELA,KOBIETA,129366
STANISŁAWA,KOBIETA,128334
DOMINIKA,KOBIETA,121041
KINGA,KOBIETA,119227
LENA,KOBIETA,117445
EDYTA,KOBIETA,114749
AMELIA,KOBIETA,113868
WIESŁAWA,KOBIETA,111152
KAMILA,KOBIETA,109076
WANDA,KOBIETA,102141
ALINA,KOBIETA,86134
LIDIA,KOBIETA,83744
LUCYNA,KOBIETA,83497
MARIOLA,KOBIETA,83040
NIKOLA,KOBIETA,74278
MIROSŁAWA,KOBIETA,73098
WIOLETTA,KOBIETA,72922
MILENA,KOBIETA,71461
DARIA,KOBIETA,71187
ANGELIKA,KOBIETA,64867
KAZIMIERA,KOBIETA,63563
GENOWEFA,KOBIETA,59521
BOGUMIŁA,KOBIETA,57475
ANTONINA,KOBIETA,57420
LAURA,KOBIETA,57036
OLGA,KOBIETA,54521
SANDRA,KOBIETA,53659
HENRYKA,KOBIETA,51956
ILONA,KOBIETA,51701
JÓZEFA,KOBIETA,51696
STEFANIA,KOBIETA,50627
MICHALINA,KOBIETA,49527
SABINA,KOBIETA,49087
BOGUSŁAWA,KOBIETA,48763
MARLENA,KOBIETA,48375
REGINA,KOBIETA,47070
NADIA,KOBIETA,46477
ŁUCJA,KOBIETA,46277
ANITA,KOBIETA,45266
KORNELIA,KOBIETA,45151
WŁADYSŁAWA,KOBIETA,44174
CZESŁAWA,KOBIETA,44018
ANIELA,KOBIETA,40419
IGA,KOBIETA,38574
LILIANA,KOBIETA,38228
JAGODA,KOBIETA,38200
MARCELINA,KOBIETA,37357
NINA,KOBIETA,36791
POLA,KOBIETA,34589
WIOLETA,KOBIETA,34527
ADRIANNA,KOBIETA,32280
ROKSANA,KOBIETA,31698
KARINA,KOBIETA,31668
DAGMARA,KOBIETA,31494
CECYLIA,KOBIETA,30144
MALWINA,KOBIETA,29320
SARA,KOBIETA,28353
LEOKADIA,KOBIETA,28190
ZDZISŁAWA,KOBIETA,27812
ŻANETA,KOBIETA,27216
ELIZA,KOBIETA,26106
BRONISŁAWA,KOBIETA,25548
EUGENIA,KOBIETA,24685
